Parameters: V_min=92.1, V_max=95, V_step=0.1, qT=1, kappa=0.9, R_ext=500, cT=0.18, i0=0, tc=30, lam=0.12, tmax=500, dt=0.0001
V_ext,x_min,x_max,x_f,T'_f,V_f,V'_f
92.1,-0.993133,0.618384,0.612696505899271, 2.46343779024059, 13.0430357976765, 93.2923494235337
92.2,0.612696505909701,0.612733331999551,0.612719994072072, 2.4689726653432, 13.0593914171015, 93.4067489691697
92.3,0.612719994082502,0.612756796888713,0.612743436584539, 2.47451374205982, 13.0757478333296, 93.5211524058417
92.4,0.612743436594968,0.612780216201194,0.612766833506386, 2.48006101981133, 13.0921050381682, 93.6355596860753
92.5,0.612766833516815,0.612803590006547,0.61279018490703, 2.48561449806387, 13.1084630234937, 93.7499707632259
92.6,0.612790184917459,0.612826918373948,0.612813490855606, 2.49117417628227, 13.1248217811837, 93.8643855906679
92.7,0.612813490866036,0.612850201372296,0.612836751420977, 2.49674005392946, 13.141181303117, 93.9788041217878
92.8,0.612836751431406,0.612873439070222,0.61285996667173, 2.50231213046612, 13.1575415811744, 94.0932263099789
92.8999999999999,0.612859966682159,0.612896631536081,0.612883136676178, 2.50789040535204, 13.1739026072371, 94.2076521086589
92.9999999999999,0.612883136686607,0.612919778837954,0.612906261502367, 2.51347487804384, 13.1902643731884, 94.3220814712401
93.0999999999999,0.612906261512796,0.612942881043656,0.612929341218063, 2.51906554799807, 13.2066268709119, 94.4365143511767
93.1999999999999,0.612929341228492,0.612965938220725,0.61295237589077, 2.52466241466811, 13.2229900922933, 94.5509507019139
93.2999999999999,0.612952375901199,0.612988950436438,0.612975365587724, 2.53026547750537, 13.2393540292194, 94.6653904768939
93.3999999999999,0.612975365598153,0.613011917757802,0.61299831037589, 2.53587473596018, 13.2557186735777, 94.779833629583
93.4999999999999,0.612998310386318,0.61303484025156,0.613021210321965, 2.5414901894811, 13.2720840172571, 94.8942801134591
93.5999999999999,0.613021210332393,0.613057717984185,0.613044065492383, 2.54711183751451, 13.2884500521474, 95.0087298820113
93.6999999999999,0.613044065502811,0.613080551021889,0.613066875953315, 2.55273967950428, 13.3048167701399, 95.1231828887405
93.7999999999999,0.613066875963744,0.613103339430622,0.613089641770671, 2.55837371489303, 13.3211841631269, 95.237639087158
93.8999999999999,0.6130896417811,0.613126083276069,0.613112363010095, 2.56401394312158, 13.3375522230014, 95.3520984307847
93.9999999999999,0.613112363020523,0.613148782623654,0.61313503973697, 2.56966036362885, 13.3539209416575, 95.466560873151
94.0999999999999,0.613135039747399,0.613171437538542,0.61315767201642, 2.57531297585193, 13.3702903109904, 95.5810263677975
94.1999999999999,0.613157672026849,0.613194048085642,0.61318025991331, 2.58097177922607, 13.3866603228959, 95.6954948682743
94.2999999999999,0.613180259923738,0.613216614329599,0.613202803492244, 2.58663677318465, 13.403030969271, 95.8099663281407
94.3999999999999,0.613202803502672,0.613239136334806,0.613225302817574, 2.5923079571592, 13.4194022420133, 95.9244407009656
94.4999999999999,0.613225302828002,0.6132616141654,0.613247757953392, 2.59798533057938, 13.4357741330214, 96.0389179403269
94.5999999999999,0.61324775796382,0.61328404788526,0.613270168963536, 2.60366889287302, 13.4521466341947, 96.153397999811
94.6999999999998,0.613270168973964,0.613306437558012,0.613292535911591, 2.60935864346608, 13.4685197374333, 96.2678808330134
94.7999999999998,0.613292535922019,0.613328783247031,0.613314858860889, 2.61505458178264, 13.4848934346379, 96.3823663935377
94.8999999999998,0.613314858871317,0.61335108501544,0.613337137874508, 2.62075670724494, 13.5012677177104, 96.4968546349963
94.9999999999998,0.613337137884936,0.613373342926109,0.613359373015278, 2.62646501927334, 13.5176425785528, 96.6113455110088
95.0999999999998,0.613337137884936,0.613373342926109,0.613359373015278, 2.62646501927334, 13.5176425785528, 96.6113455110088
